metID	name_original	CHEBI_original	KEGG_original	charge_original	Formula_original	name_new	KEGG_new	CHEBI_new	general_chebiID	charge_new	Formula_new
s_0008	(2R,3R)-2,3-dihydroxy-3-methylpentanoate	CHEBI:49258	C06007	-1	C6H11O4	(2R,3R)-2,3-dihydroxy-3-methylpentanoate	C06007	CHEBI:49258		-1	C6H11O4
s_0009	(2R,3S)-3-isopropylmalate	CHEBI:35121	C04411	-2	C7H10O5	(2R,3S)-3-isopropylmalate	C04411	CHEBI:35121		-2	C7H10O5
s_0010	(2S)-2-isopropyl-3-oxosuccinate	CHEBI:17214	C04236	-2	C7H8O5	(2S)-2-isopropyl-3-oxosuccinate	C04236	CHEBI:17214		-2	C7H8O5
s_0016	(R)-2,3-dihydroxy-3-methylbutanoate	CHEBI:49072	C04272	-1	C5H9O4	(R)-2,3-dihydroxy-3-methylbutanoate	C04272	CHEBI:49072		-1	C5H9O4
s_0020	(R)-acetoin	CHEBI:15686	C00810	0	C4H8O2	(R)-acetoin	C00810	CHEBI:15686		0	C4H8O2
s_0021	(R)-carnitine	CHEBI:16347	C00318	0	C7H15NO3	(R)-carnitine	C00318	CHEBI:16347		0	C7H15NO3
s_0025	(R)-lactate	CHEBI:16004	C00256	-1	C3H5O3	(R)-lactate	C00256	CHEBI:16004		-1	C3H5O3
s_0028	(R)-mevalonate	CHEBI:36464	C00418	-1	C6H11O4	(R)-mevalonate	C00418	CHEBI:36464		-1	C6H11O4
s_0030	(R)-pantoate	CHEBI:15980	C00522	-1	C6H11O4	(R)-pantoate	C00522	CHEBI:15980		-1	C6H11O4
s_0031	(R)-pantothenate	CHEBI:29032	C00864	-1	C9H16NO5	(R)-pantothenate	C00864	CHEBI:29032		-1	C9H16NO5
s_0033	(R)-S-lactoylglutathione	CHEBI:57474	C03451	-1	C13H20N3O8S	(R)-S-lactoylglutathione	C03451	CHEBI:57474		-1	C13H20N3O8S
s_0035	(R,R)-2,3-butanediol	CHEBI:16982	C03044	0	C4H10O2	(R,R)-2,3-butanediol	C03044	CHEBI:16982		0	C4H10O2
s_0037	(S)-2,3-epoxysqualene	CHEBI:15441	C01054	0	C30H50O	(S)-2,3-epoxysqualene	C01054	CHEBI:15441		0	C30H50O
s_0054	(S)-3-hydroxytetradecanoyl-CoA	CHEBI:27466	C05260	0	C35H62N7O18P3S	(S)-3-hydroxytetradecanoyl-CoA	C05260	CHEBI:27466		0	C35H62N7O18P3S
s_0056	(S)-3-methyl-2-oxopentanoate	CHEBI:35146	C00671	-1	C6H9O3	(S)-3-methyl-2-oxopentanoate	C00671	CHEBI:35146		-1	C6H9O3
s_0061	(S)-dihydroorotate	CHEBI:30864	C00337	-1	C5H5N2O4	(S)-dihydroorotate	C00337	CHEBI:30864		-1	C5H5N2O4
s_0062	(S)-lactaldehyde	CHEBI:18041	C00424	0	C3H6O2	(S)-lactaldehyde	C00424	CHEBI:18041		0	C3H6O2
s_0063	(S)-lactate	CHEBI:16651	C00186	-1	C3H5O3	(S)-lactate	C00186	CHEBI:16651		-1	C3H5O3
s_0066	(S)-malate	CHEBI:15589	C00149	-2	C4H4O5	(S)-malate	C00149	CHEBI:15589		-2	C4H4O5
s_0075	1,3-bisphospho-D-glycerate	CHEBI:57604	C00236	-4	C3H4O10P2	1,3-bisphospho-D-glycerate	C00236	CHEBI:57604		-4	C3H4O10P2
