Abbreviation	Subsystem_new	removed_duplicate_subsystem	evidence
r_0001	sce00620  pyruvate metabolism 	sce00920 Sulfur metabolism	ito980
r_0002	sce00620  pyruvate metabolism 	sce00920 Sulfur metabolism	MNX
r_0003	acetoin and butanediol biosynthesis		
r_0004	sce00620  pyruvate metabolism 	sce00920 Sulfur metabolism	ito980
r_0005	sce00500  starch and sucrose metabolism 	sce04011 MAPK signaling pathway – yeast	ito980
r_0006	sce00500  starch and sucrose metabolism 		ito980
r_0007	sce00340  histidine metabolism 		ito980
r_0012	sce00250  alanine, aspartate and glutamate metabolism 	sce00330 Arginine and proline metabolism	ito980
r_0013	sce00270  cysteine and methionine metabolism 		
r_0014	sce00740  riboflavin metabolism 		
r_0015	sce00740  riboflavin metabolism 		
r_0016	valine, leucine, and isoleucine metabolism	sce00290 Valine, leucine and isoleucine biosynthesis  sce00650 Butanoate metabolism   sce00660 C5-Branched dibasic acid metabolism   sce00770 Pantothenate and CoA biosynthesis   sce01210 2-Oxocarboxylic acid metabolism	From ito980
r_0017	sce00790  folate biosynthesis 		
r_0018	lysine metabolism	sce00300 Lysine biosynthesis sce00130 Ubiquinone and other terpenoid-quinone biosynthesis   sce00270 Cysteine and methionine metabolism   sce00350 Tyrosine metabolism   sce00360 Phenylalanine metabolism   sce00380 Tryptophan metabolism   sce00400 Phenylalanine, tyrosine and tryptophan biosynthesis  sce01210 2-Oxocarboxylic acid metabolism	MNX
r_0019	sce00770  pantothenate and coa biosynthesis 		ito980
r_0020	sce00400  phenylalanine, tyrosine and tryptophan biosynthesis 		ito980
r_0021	sce00130  ubiquinone and other terpenoid-quinone biosynthesis 		
r_0022	sce00130  ubiquinone and other terpenoid-quinone biosynthesis 		
r_0023	valine, leucine, and isoleucine metabolism	sce00290 Valine, leucine and isoleucine biosynthesis  sce01210 2-Oxocarboxylic acid metabolism	ito980
r_0024	valine, leucine, and isoleucine metabolism	sce00290 Valine, leucine and isoleucine biosynthesis  sce01210 2-Oxocarboxylic acid metabolism	ito980
r_0025	valine, leucine, and isoleucine metabolism	sce00290 Valine, leucine and isoleucine biosynthesis  sce01210 2-Oxocarboxylic acid metabolism	ito980
r_0026	sce00270  cysteine and methionine metabolism 		imm904
r_0027	lysine metabolism	sce00300 Lysine biosynthesis  sce01210 2-Oxocarboxylic acid metabolism	ito980
r_0028	sce00640  propanoate metabolism 	sce00020 Citrate cycle (TCA cycle)   sce00630 Glyoxylate and dicarboxylate metabolism   sce01210 2-Oxocarboxylic acid metabolism	ito980
r_0029	valine, leucine, and isoleucine metabolism	sce00290 Valine, leucine and isoleucine biosynthesis sce00270 Cysteine and methionine metabolism   sce00770 Pantothenate and CoA biosynthesis  sce01210 2-Oxocarboxylic acid metabolism	ito980 and imm904
r_0030	valine, leucine, and isoleucine metabolism	sce00290 Valine, leucine and isoleucine biosynthesis sce00270 Cysteine and methionine metabolism   sce00770 Pantothenate and CoA biosynthesis  sce01210 2-Oxocarboxylic acid metabolism	ito980 and imm904
r_0032	sce00920  sulfur metabolism 		
r_0033	sce00230  purine metabolism 		
r_0034	sce00230  purine metabolism 		
r_0035	sce00230  purine metabolism 		
r_0036	sce00230  purine metabolism 		
r_0037	sce00230  purine metabolism 		
r_0038	sce00740  riboflavin metabolism 		ito980
r_0039	sce00400  phenylalanine, tyrosine and tryptophan biosynthesis 		ito980
r_0040	sce00400  phenylalanine, tyrosine and tryptophan biosynthesis 		ito980
r_0041	sce00600  sphingolipid metabolism 		
r_0042	sce00400  phenylalanine, tyrosine and tryptophan biosynthesis 		ito980
r_0043	sce00130  ubiquinone and other terpenoid-quinone biosynthesis 		imm904
r_0044	sce00130  ubiquinone and other terpenoid-quinone biosynthesis 		imm904
r_0045	sce00380  tryptophan metabolism 		
r_0057	sce00071  fatty acid degradation 		ito980 and imm904
r_0058	sce00380  tryptophan metabolism 		
r_0059	complex alcohol metabolism		ito980
r_0060	valine, leucine, and isoleucine metabolism	sce00290 Valine, leucine and isoleucine biosynthesis  sce01210 2-Oxocarboxylic acid metabolism	ito980 and imm904
r_0061	valine, leucine, and isoleucine metabolism	sce00290 Valine, leucine and isoleucine biosynthesis sce00660 C5-Branched dibasic acid metabolism   sce01210 2-Oxocarboxylic acid metabolism	ito980 and imm904
r_0062	complex alcohol metabolism		imm904
r_0063	sce00770  pantothenate and coa biosynthesis 		
r_0064	complex alcohol metabolism		EC should be 4.1.1.72
r_0065	sce00400  phenylalanine, tyrosine and tryptophan biosynthesis 		
r_0066	sce00790  folate biosynthesis 		
r_0067	sce00790  folate biosynthesis 		MNX
r_0068	sce00250  alanine, aspartate and glutamate metabolism 	sce00280 Valine, leucine and isoleucine degradation   sce00410 beta-Alanine metabolism   sce00640 Propanoate metabolism   sce00650 Butanoate metabolism	ito980 and imm904
r_0069	sce00750  vitamin b6 metabolism 	sce00260 Glycine, serine and threonine metabolism	MNX
r_0070	sce00130  ubiquinone and other terpenoid-quinone biosynthesis 		imm904
r_0072	complex alcohol metabolism		Ito980 and imm904
r_0073	sce00562  inositol phosphate metabolism 		kegg
r_0074	sce04070  phosphatidylinositol signaling system 		
r_0075	sce00270  cysteine and methionine metabolism 		
r_0076	sce00760  nicotinate and nicotinamide metabolism 		
r_0077	sce00230  purine metabolism 	sce00760 Nicotinate and nicotinamide metabolism	MNX
r_0078	sce00760  nicotinate and nicotinamide metabolism 		
r_0079	sce00230  purine metabolism 		
r_0080	sce00670  one carbon pool by folate 		
r_0081	sce00860  porphyrin and chlorophyll metabolism 	sce00260 Glycine, serine and threonine metabolism	ito980 and imm904
r_0082	sce00562  inositol phosphate metabolism 		kegg
r_0083	sce04070  phosphatidylinositol signaling system 		
r_0084	sce00670  one carbon pool by folate 		
r_0085	sce00270  cysteine and methionine metabolism 	sce00450 Selenocompound metabolism	ito980 and imm904
r_0086	sce00270  cysteine and methionine metabolism 		imm904
r_0087	sce00270  cysteine and methionine metabolism 		imm904
r_0088	sce00562  inositol phosphate metabolism 		kegg
r_0089	sce00562  inositol phosphate metabolism 		kegg
r_0090	sce00051  fructose and mannose metabolism 		
r_0091	sce00030  pentose phosphate pathway 		
r_0092	sce00562  inositol phosphate metabolism 		kegg
r_0093	sce04070  phosphatidylinositol signaling system 		
r_0094	sce00780  biotin metabolism 		MNX
